YEARID	PARENTSTANDARDIDENTIFIER	IDENTIFIER	NAME	DESCRIPTION	SUBJECTAREA	CONVERSIONSCALEID	GRADESCALEITEMDCID	ISASSIGNMENTALLOWED	ISACTIVE	DISPLAYPOSITION	ISCOMMENTINCLUDED	MAXCOMMENTLENGTH	PRIMARYCOURSES	WEIGHT	ISCALCBYLOWERSTANDARD
32	E1-6.ARDA.RPT.M	ARDA1-6.A1	Creating and Presenting	- apply the creative process to the composition of simple dance phrases, using the elements of dance to communicate feelings and ideas	Dance	22532	2077	1	1	1110	0	0	9DNC1,9DNC6,9DNC5,9DNC4,9DNC3,9DNC2		1
32	E1-6.ARDA.RPT.M	ARDA1-6.A2	Reflecting, Responding, and Analysing	- apply the critical analysis process to communicate their feelings, ideas, and understandings in response to a variety of dance pieces and experiences	Dance	22532	2077	1	1	1111	0	0	9DNC1,9DNC6,9DNC5,9DNC4,9DNC3,9DNC2		1
32	E1-6.ARDA.RPT.M	ARDA1-6.A3	Exploring Forms and Cultural Contexts	- demonstrate an understanding of a variety of dance forms and styles from the past and present, and their social and/or community contexts	Dance	22532	2077	1	1	1112	0	0	9DNC1,9DNC6,9DNC5,9DNC4,9DNC3,9DNC2		1
32	E7-8.ARDA.RPT.M	ARDA7-8.A1	Creating and Presenting	- apply the creative process to the composition of a variety of dance pieces, using the elements of dance to communicate feelings and ideas	Dance	22532	2077	1	1	1110	0	0	9DNC7,9DNC8		1
32	E7-8.ARDA.RPT.M	ARDA7-8.A2	Reflecting, Responding, and Analysing	- apply the critical analysis process to communicate their feelings, ideas, and understandings in response to a variety of dance pieces and experiences	Dance	22532	2077	1	1	1111	0	0	9DNC7,9DNC8		1
32	E7-8.ARDA.RPT.M	ARDA7-8.A3	Exploring Forms and Cultural Contexts	- demonstrate an understanding of a variety of dance forms, traditions, and styles from the past and present, and their sociocultural and historical contexts	Dance	22532	2077	1	1	1112	0	0	9DNC7,9DNC8		1
32	E1-6.ARDR.RPT.M	ARDR1-6.B1	Creating and Presenting	- apply the creative process to dramatic play and process drama, using the elements and conventions of drama to communicate feelings, ideas, and stories	Drama	22532	2077	1	1	1110	0	0	9DRM1,9DRM6,9DRM5,9DRM4,9DRM3,9DRM2		1
32	E1-6.ARDR.RPT.M	ARDR1-6.B2	Reflecting, Responding, and Analysing	- apply the critical analysis process to communicate feelings, ideas, and understandings in response to a variety of drama works and experiences	Drama	22532	2077	1	1	1111	0	0	9DRM1,9DRM6,9DRM5,9DRM4,9DRM3,9DRM2		1
32	E1-6.ARDR.RPT.M	ARDR1-6.B3	Exploring Forms and Cultural Contexts	- demonstrate an understanding of a variety of drama and theatre forms and styles from the past and present, and their social and/or community contexts	Drama	22532	2077	1	1	1112	0	0	9DRM1,9DRM6,9DRM5,9DRM4,9DRM3,9DRM2		1
32	E7-8.ARDR.RPT.M	ARDR7-8.B1	Creating and Presenting	- apply the creative process to process drama and the development of drama works, using the elements and conventions of drama to communicate feelings, ideas, and multiple perspectives	Drama	22532	2077	1	1	1110	0	0	9DRM7,9DRM8		1
32	E7-8.ARDR.RPT.M	ARDR7-8.B2	Reflecting, Responding, and Analysing	- apply the critical analysis process to communicate feelings, ideas, and understandings in response to a variety of drama works and experiences	Drama	22532	2077	1	1	1111	0	0	9DRM7,9DRM8		1
32	E7-8.ARDR.RPT.M	ARDR7-8.B3	Exploring Forms and Cultural Contexts	- demonstrate an understanding of a variety of drama and theatre forms, traditions, and styles from the past and present, and their sociocultural and historical contexts	Drama	22532	2077	1	1	1112	0	0	9DRM7,9DRM8		1
32	E1-6.ARM.RPT.M	ARM1-6.C1	Creating and Performing	- apply the creative process to create and perform music for a variety of purposes, using the elements and techniques of music	Music	22532	2077	1	1	1110	0	0	9MUS1,9MUS6,9MUS5,9MUS4,9MUS3,9MUS2		1
32	E1-6.ARM.RPT.M	ARM1-6.C2	Reflecting, Responding, and Analysing	- apply the critical analysis process to communicate their feelings, ideas, and understandings in response to a variety of music and musical experiences	Music	22532	2077	1	1	1111	0	0	9MUS1,9MUS6,9MUS5,9MUS4,9MUS3,9MUS2		1
32	E1-6.ARM.RPT.M	ARM1-6.C3	Exploring Forms and Cultural Contexts	- demonstrate an understanding of a variety of musical genres and styles from the past and present, and their social and/or community contexts	Music	22532	2077	1	1	1112	0	0	9MUS1,9MUS6,9MUS5,9MUS4,9MUS3,9MUS2		1
32	E7-8.ARM.RPT.M	ARM7-8.C1	Creating and Performing	- apply the creative process to create and perform music for a variety of purposes, using the elements and techniques of music	Music	22532	2077	1	1	1110	0	0	9MUS7,9MUS8		1
32	E7-8.ARM.RPT.M	ARM7-8.C2	Reflecting, Responding, and Analysing	- apply the critical analysis process to communicate their feelings, ideas, and understandings in response to a variety of music and musical experiences	Music	22532	2077	1	1	1111	0	0	9MUS7,9MUS8		1
32	E7-8.ARM.RPT.M	ARM7-8.C3	Exploring Forms and Cultural Contexts	- demonstrate an understanding of a variety of musical genres and styles from the past and present, and their sociocultural and historical contexts	Music	22532	2077	1	1	1112	0	0	9MUS7,9MUS8		1
32	E1-6.ARV.RPT.M	ARV1-6.D1	Creating and Presenting	- apply the creative process to produce a variety of two- and three-dimensional art works, using elements, principles, and techniques of visual arts to communicate feelings, ideas, and understandings	Visual Arts	22532	2077	1	1	1110	0	0	9VAT1,9VAT6,9VAT5,9VAT4,9VAT3,9VAT2		1
32	E1-6.ARV.RPT.M	ARV1-6.D2	Reflecting, Responding, and Analysing	- apply the critical analysis process to communicate feelings, ideas, and understandings in response to a variety of art works and art experiences	Visual Arts	22532	2077	1	1	1111	0	0	9VAT1,9VAT6,9VAT5,9VAT4,9VAT3,9VAT2		1
32	E1-6.ARV.RPT.M	ARV1-6.D3	Exploring Forms and Cultural Contexts	- demonstrate an understanding of a variety of art forms, styles, and techniques from the past and present, and their social and/or community contexts	Visual Arts	22532	2077	1	1	1112	0	0	9VAT1,9VAT6,9VAT5,9VAT4,9VAT3,9VAT2		1
32	E7-8.ARV.RPT.M	ARV7-8.D1	Creating and Presenting	- apply the creative process to produce art works in a variety of traditional two- and three-dimensional forms, as well as multimedia art works, that communicate feelings, ideas, and understandings, using elements, principles, and techniques of visual arts as well as current media technologies	Visual Arts	22532	2077	1	1	1110	0	0	9VAT7,9VAT8		1
32	E7-8.ARV.RPT.M	ARV7-8.D2	Reflecting, Responding, and Analysing	- apply the critical analysis process to communicate feelings, ideas, and understandings in response to a variety of art works and art experiences	Visual Arts	22532	2077	1	1	1111	0	0	9VAT7,9VAT8		1
32	E7-8.ARV.RPT.M	ARV7-8.D3	Exploring Forms and Cultural Contexts	- demonstrate an understanding of a variety of art forms, styles, and techniques from the past and present, and their sociocultural and historical contexts	Visual Arts	22532	2077	1	1	1112	0	0	9VAT7,9VAT8		1
32	S9-12	ASL	American Sign Language as a Second Language, Level 1	American Sign Language as a Second Language, Level 1	International Languages	2205	1180	0	1	200	0	4000	LASBO1		1
32	ASL	ASL.A	Strand: A - ASL CONVERSATIONAL DISCOURSE	ASL CONVERSATIONAL DISCOURSE	International Languages	22532	2173	1	1	210	0	4000	LASBO1	1	1
32	ASL.A	ASL.A.1	A.1 -  Understanding Ideas and Information in ASL Conversational Discourse	determine meaning, and demonstrate a basic knowledge of ASL culture, using comprehension strategies and interactive strategies, in a variety of basic ASL conversational discourse contexts	International Languages	22532	2473	1	1	211	0	4000	LASBO1		1
32	ASL.A	ASL.A.2	A.2 - Responding to Ideas and Information in ASL Conversational Discourse	respond with ideas and information appropriate to the purpose and audience while demonstrating a basic knowledge of ASL culture, using a range of strategies, in a variety of basic ASL conversational discourse contexts	International Languages	22532	2473	1	1	212	0	4000	LASBO1		1
32	ASL.A	ASL.A.3	A.3 - Reflecting on ASL Conversational Discourse	reflect on and describe the strategies, skills, and ASL cultural knowledge they found most helpful in both acquiring and responding to ideas and information, and plan next steps to improve their conversational discourse	International Languages	22532	2473	1	1	213	0	4000	LASBO1		1
32	ASL	ASL.B	Strand: B - COMPREHENDING ASL CONSTRUCTION AND CONTENT	COMPREHENDING ASL CONSTRUCTION AND CONTENT	International Languages	22532	2173	1	1	220	0	4000	LASBO1	1	1
32	ASL.B	ASL.B.1	B.1 -  Demonstrating Understanding of ASL Content	identify various ASL genres, cultural elements, and ASL words and classifiers to determine meaning in a variety of basic ASL literary works and ASL texts, using a range of comprehension strategies	International Languages	22532	2473	1	1	221	0	4000	LASBO1		1
32	ASL.B	ASL.B.2	B.2 - Purpose, ASL Form, and Style	identify the purposes, characteristics, and aspects of style of a variety of ASL forms, and demonstrate a basic knowledge of ASL grammatical structures, ASL culture, and critical literacy skills in ASL	International Languages	22532	2473	1	1	222	0	4000	LASBO1		1
32	ASL.B	ASL.B.3	B.3 - Reflecting on Comprehension in ASL	reflect on and describe the strategies, skills, and ASL cultural knowledge they found most helpful in determining meaning in ASL literary works and ASL texts, and plan next steps to improve their comprehension	International Languages	22532	2473	1	1	223	0	4000	LASBO1		1
32	ASL	ASL.C	Strand: C - CONSTRUCTING ASL CONTENT AND USAGE OF ASL GRAMMATICAL STRUCTURES	CONSTRUCTING ASL CONTENT AND USAGE OF ASL GRAMMATICAL STRUCTURES	International Languages	22532	2173	1	1	231	0	4000	LASBO1	1	1
32	ASL.C	ASL.C.1	C.1 - Purpose, Audience, and ASL Form	construct a variety of basic ASL literary works and ASL texts for different purposes and audiences, using different ASL forms and a basic knowledge of ASL culture	International Languages	22532	2473	1	1	231	0	4000	LASBO1		1
32	ASL.C	ASL.C.2	C.2 - Using the ASL Constructing Process	use the ASL constructing process to plan, draft, revise, edit, and publish a variety of basic ASL literary works and ASL texts	International Languages	22532	2473	1	1	232	0	4000	LASBO1		1
32	ASL.C	ASL.C.3	C.3 - Reflecting on the ASL Constructing Process	reflect on and describe the strategies, skills, and ASL cultural knowledge they found most helpful throughout the ASL constructing process; identify the ASL works they created that demonstrate a progression in their learning; and plan next steps to improve their construction of ASL literary works and ASL texts	International Languages	22532	2473	1	1	233	0	4000	LASBO1		1
32	ASL	ASL.D	Strand: D - UNDERSTANDING THE CONNECTIONS BETWEEN ASL LANGUAGE, CULTURE, IDENTITY, AND COMMUNITY	UNDERSTANDING THE CONNECTIONS BETWEEN ASL LANGUAGE, CULTURE, IDENTITY, AND COMMUNITY	International Languages	22532	2173	1	1	240	0	4000	LASBO1	1	1
